n_neighbors,min_dist,n_components,random_state,metric,n_jobs,embedding
5,0.1,3,42,euclidean,8,"[[ 2.478485  10.843754  -6.2398705]
 [ 6.089166   6.9787197  1.3918666]
 [ 6.5486655  1.5164227  3.439683 ]
 ...
 [ 6.6506624 -1.4174998 -1.6654941]
 [ 6.688608   6.5024486 -6.055646 ]
 [ 6.0018797 -3.5929508 -5.3837066]]"
10,0.1,3,42,euclidean,8,"[[ 6.144532    1.0148406  -3.749755  ]
 [10.59733    11.1266775   0.18137546]
 [ 7.7512455  13.267601   -0.0972322 ]
 ...
 [16.157696    8.898108    2.7993267 ]
 [ 3.6440284   4.823801    9.137175  ]
 [20.679289    7.653803    1.4814279 ]]"
15,0.1,3,42,euclidean,8,"[[ 8.544155  -3.179774   7.1043286]
 [11.465752  10.908311   8.580906 ]
 [ 9.525482   9.48032    2.0474348]
 ...
 [ 0.6281139  4.2199736  2.4730592]
 [ 0.7519222 -2.963442  -0.99238  ]
 [19.382181   5.2988424 10.243205 ]]"
20,0.1,3,42,euclidean,8,"[[ 8.228832   9.6420765  4.8511863]
 [ 8.769263  -1.828198   8.75421  ]
 [ 6.403343  -0.9742745  7.114603 ]
 ...
 [ 7.212227  -5.5918484  1.8536316]
 [10.224373   1.3060999 -6.4763675]
 [15.719043  -6.3132224  2.6677098]]"
25,0.1,3,42,euclidean,8,"[[  8.775326   -1.1797022   5.804489 ]
 [ 19.015745    2.8633916 -12.800049 ]
 [ 23.424564    3.9313514  -2.5810742]
 ...
 [ 10.822765    1.2044784 -12.567762 ]
 [  3.7111177   5.741091   -9.562188 ]
 [ 14.379681    5.941604  -17.656975 ]]"
30,0.1,3,42,euclidean,8,"[[-0.69406575 10.625566   10.665169  ]
 [-5.8878818  -8.502674    8.101762  ]
 [ 4.0782356  -6.20016     1.1990838 ]
 ...
 [ 0.271744   16.921543   -0.71331936]
 [-5.364205    6.4261236  -7.9040546 ]
 [-4.403105   -6.075956   -1.1353091 ]]"
5,0.2,3,42,euclidean,8,"[[13.178395    4.426735   -3.5782063 ]
 [ 4.3342524   6.5632787   0.61097217]
 [ 4.1918564   5.540853    4.970001  ]
 ...
 [11.706737    8.1065      5.9761796 ]
 [ 6.231995   10.699104    2.6262321 ]
 [10.4720955   5.2247634  -8.767173  ]]"
10,0.2,3,42,euclidean,8,"[[13.117042    2.7263632  -3.376284  ]
 [ 3.245412    8.129355    3.323311  ]
 [ 2.9351254  10.6556225   0.22618558]
 ...
 [10.507181    1.448468    6.5355253 ]
 [12.451634    8.107334   10.38169   ]
 [ 6.616525   -2.4983218   9.729743  ]]"
15,0.2,3,42,euclidean,8,"[[12.775275   -0.25459084  8.80201   ]
 [ 1.3563842   9.60201     6.088984  ]
 [-0.6216476   3.4263532   5.1886134 ]
 ...
 [-1.6014411   5.8076077  -0.88356626]
 [11.630441    6.068173   -2.939828  ]
 [ 6.3846173  13.315917   -1.059372  ]]"
20,0.2,3,42,euclidean,8,"[[ 11.777179     8.306963     6.444472  ]
 [  6.439199    -5.5964274    6.6415186 ]
 [  3.3581288   -3.4962437    5.3325934 ]
 ...
 [ 14.637297    -5.6148586    1.5047702 ]
 [ 13.5345       1.4822226   -6.4834785 ]
 [ 10.442899   -11.892309     0.02192845]]"
25,0.2,3,42,euclidean,8,"[[ 10.155659     1.404962     5.097004  ]
 [ 20.879705     7.7499447  -13.0196705 ]
 [ 14.876199    10.677561    -7.174654  ]
 ...
 [ 17.122194     5.5806046  -19.420378  ]
 [  6.89282     -0.28475615 -14.327267  ]
 [ 17.202057    13.65366    -13.452796  ]]"
30,0.2,3,42,euclidean,8,"[[ -1.7878978  11.864065    9.480088 ]
 [-11.790879   -2.3707814   6.0686984]
 [  0.3063089   7.9237957  -3.3827677]
 ...
 [  0.6169773  -8.370809   -1.1163204]
 [ -7.18352     5.6342177  -9.743051 ]
 [-16.249104    1.2220248  -0.5540266]]"
5,0.3,3,42,euclidean,8,"[[ 3.4975145  -1.0936037   3.469696  ]
 [ 4.8119073   7.5671196  -1.7349826 ]
 [ 0.62659776  7.642342    2.3690436 ]
 ...
 [ 7.294569    4.3942437  -7.3043265 ]
 [ 4.2036686   4.7152667   5.615028  ]
 [12.973914    5.2919064  -7.059687  ]]"
10,0.3,3,42,euclidean,8,"[[12.866225    2.7331662  -2.902865  ]
 [ 1.646544    6.0151095   3.1909947 ]
 [ 0.5815542   2.5701551   0.40775013]
 ...
 [ 7.0967984  -0.02275249  7.321335  ]
 [10.969696    2.8301654  12.245096  ]
 [ 3.6937969  -2.800151   10.024612  ]]"
15,0.3,3,42,euclidean,8,"[[10.712821    0.9231375   9.191196  ]
 [ 0.17568591  9.939268    3.4286313 ]
 [ 4.0090346  13.625795    4.3773193 ]
 ...
 [-0.18436912  4.365803   -2.8676188 ]
 [11.914771    6.8790607  -3.914784  ]
 [ 6.893157   10.114317   -1.2390504 ]]"
20,0.3,3,42,euclidean,8,"[[ 8.692769   9.095418   7.2359343]
 [15.481207  -6.1387205 10.777869 ]
 [18.646706  -2.4541261 13.507428 ]
 ...
 [16.343515  -6.903098   1.4419276]
 [15.719836  -1.1952454 -5.242903 ]
 [11.506645  -7.9039826  1.7502122]]"
25,0.3,3,42,euclidean,8,"[[  9.740932    1.9195278   3.4007459]
 [ 19.593277    7.5681863  -9.838555 ]
 [ 19.088295    9.189101   -2.233797 ]
 ...
 [ 16.126919    2.723955  -13.633705 ]
 [ 11.039425    3.231836  -14.801071 ]
 [ 14.285803   12.304855   -8.658171 ]]"
30,0.3,3,42,euclidean,8,"[[ -1.748406   12.3466835   7.7486043]
 [-14.973479   -1.137946    1.053931 ]
 [-18.18541     6.370129    4.9074655]
 ...
 [-15.553005    8.658543   -0.8996342]
 [-13.0169735   9.957439   -5.927357 ]
 [-13.767166    1.6724517  -4.154218 ]]"
5,0.4,3,42,euclidean,8,"[[-2.2850366   7.7864876  -3.282672  ]
 [ 5.466809    6.9401846  -0.5085302 ]
 [ 3.8122797   9.069675    4.1309614 ]
 ...
 [11.159036    6.7773924  -2.7583113 ]
 [ 0.09981603  1.9881998  -0.7038704 ]
 [10.472611   11.95639    -5.3729525 ]]"
10,0.4,3,42,euclidean,8,"[[12.249359    3.0205097  -3.3893628 ]
 [ 1.450382    5.3864393   3.1907463 ]
 [ 0.23205216  2.1392407  -0.30386892]
 ...
 [ 6.845969   -0.38975102  7.906884  ]
 [13.5338745   6.8561797  11.485886  ]
 [ 4.016566   -2.5606499  10.012678  ]]"
15,0.4,3,42,euclidean,8,"[[10.324164    1.5951184   9.421428  ]
 [ 0.44377527 10.173051    3.1755605 ]
 [ 4.6419387  13.663758    3.9320009 ]
 ...
 [ 1.2566928   5.640193   -4.045332  ]
 [11.392163    6.4689445  -4.885876  ]
 [ 8.130505   10.254285   -0.7562459 ]]"
20,0.4,3,42,euclidean,8,"[[ 9.884722    7.741737    7.1608424 ]
 [15.502058   -6.16823     9.12524   ]
 [19.945765   -2.3379762   8.145795  ]
 ...
 [15.002586   -7.281645    0.95743394]
 [16.769901   -1.5835723  -4.9835563 ]
 [ 9.900028   -4.702401    3.5066614 ]]"
25,0.4,3,42,euclidean,8,"[[ 11.031964    2.2055147   2.782239 ]
 [ 21.245382    8.881323   -9.360535 ]
 [ 24.241228    9.567227   -4.7271056]
 ...
 [ 17.04263     5.4999275 -15.35778  ]
 [ 10.837279    7.784219  -13.601469 ]
 [ 14.087493   10.91157    -9.144747 ]]"
30,0.4,3,42,euclidean,8,"[[ -2.0156615  12.09296     7.7681475]
 [-14.448115    1.313557   -4.992767 ]
 [-16.152266    7.7423363  -3.8044713]
 ...
 [-19.457918    2.5773938 -10.901164 ]
 [-12.08817    11.886998   -8.331556 ]
 [-12.1444845   2.9031117 -10.539896 ]]"
