Genome,Fraction,length
NT12268,perc_covered,68.82360182823163
NT12268,perc_unc,31.17639817176837
NT12138_281,perc_covered,68.79682081415984
NT12138_281,perc_unc,31.203179185840156
141,perc_covered,68.44631760927234
141,perc_unc,31.55368239072766
142,perc_covered,68.3637396177801
142,perc_unc,31.636260382219902
NT12005_17,perc_covered,68.31711357907868
NT12005_17,perc_unc,31.68288642092132
188,perc_covered,68.24629591085312
188,perc_unc,31.75370408914688
NT12042_225,perc_covered,68.08681143519928
NT12042_225,perc_unc,31.91318856480072
37,perc_covered,68.06550379012009
37,perc_unc,31.93449620987991
NT12400_381,perc_covered,68.04020502791886
NT12400_381,perc_unc,31.95979497208114
NT12085_258,perc_covered,67.92014567073123
NT12085_258,perc_unc,32.07985432926877
NT12619_170,perc_covered,67.88562268728752
NT12619_170,perc_unc,32.11437731271248
82,perc_covered,67.8476355303431
82,perc_unc,32.1523644696569
NT12098_101,perc_covered,67.84081045662644
NT12098_101,perc_unc,32.15918954337356
NT12317_353,perc_covered,67.78128782669633
NT12317_353,perc_unc,32.21871217330367
195,perc_covered,67.75185598757261
195,perc_unc,32.24814401242739
NT12008_101,perc_covered,67.73569532140851
NT12008_101,perc_unc,32.264304678591486
78,perc_covered,67.69068216452627
78,perc_unc,32.309317835473735
NT12116_100,perc_covered,67.69050928091873
NT12116_100,perc_unc,32.30949071908127
NT12275,perc_covered,67.68156336438547
NT12275,perc_unc,32.31843663561453
NT12093_170,perc_covered,67.6810041228626
NT12093_170,perc_unc,32.3189958771374
NT12139_282,perc_covered,67.6401028864472
NT12139_282,perc_unc,32.359897113552805
NT12003_214,perc_covered,67.6121102439722
NT12003_214,perc_unc,32.3878897560278
NT12343_357,perc_covered,67.605310307666
NT12343_357,perc_unc,32.394689692334
NT12704_20,perc_covered,67.57950430816629
NT12704_20,perc_unc,32.42049569183371
NT12705_21,perc_covered,67.57950430816629
NT12705_21,perc_unc,32.42049569183371
NT12427_396,perc_covered,67.50596280778673
NT12427_396,perc_unc,32.49403719221327
NT12094_30,perc_covered,67.46145673525294
NT12094_30,perc_unc,32.53854326474706
NT12034_46,perc_covered,67.42783171408267
NT12034_46,perc_unc,32.57216828591733
NT12023_38,perc_covered,67.42732812114002
NT12023_38,perc_unc,32.57267187885998
NT12022_37,perc_covered,67.41752587190531
NT12022_37,perc_unc,32.58247412809469
FOC_10,perc_covered,67.40981154683745
FOC_10,perc_unc,32.590188453162554
NT12049_53,perc_covered,67.37046083970797
NT12049_53,perc_unc,32.629539160292026
NT12354,perc_covered,67.36251681996762
NT12354,perc_unc,32.637483180032376
NT12259,perc_covered,67.31217256817814
NT12259,perc_unc,32.68782743182186
181,perc_covered,67.30927408550727
181,perc_unc,32.69072591449273
NT12024_39,perc_covered,67.26890668680129
NT12024_39,perc_unc,32.73109331319871
194,perc_covered,67.24141240258234
194,perc_unc,32.75858759741766
NT12239,perc_covered,67.19349960302225
NT12239,perc_unc,32.806500396977754
NT12012_88,perc_covered,67.18717495151326
NT12012_88,perc_unc,32.812825048486744
NT12346_358,perc_covered,67.10670386081848
NT12346_358,perc_unc,32.893296139181516
NT12373,perc_covered,67.10534493606492
NT12373,perc_unc,32.894655063935076
NT12026_41,perc_covered,67.10147628743914
NT12026_41,perc_unc,32.89852371256086
NT12083_256,perc_covered,67.07842647871058
NT12083_256,perc_unc,32.92157352128942
58,perc_covered,67.04169716870554
58,perc_unc,32.95830283129446
NT12067_242,perc_covered,67.04107149614951
NT12067_242,perc_unc,32.95892850385049
NT12080_254,perc_covered,67.03673880435291
NT12080_254,perc_unc,32.96326119564709
NT12109_96,perc_covered,66.98101414372309
NT12109_96,perc_unc,33.01898585627691
NT12437,perc_covered,66.96344035232585
NT12437,perc_unc,33.03655964767415
NT12037_222,perc_covered,66.95471966383585
NT12037_222,perc_unc,33.045280336164154
NT12117_268,perc_covered,66.92493618942717
NT12117_268,perc_unc,33.07506381057283
NT12001_189,perc_covered,66.9158954613573
NT12001_189,perc_unc,33.084104538642706
NT12033_45,perc_covered,66.78504825066254
NT12033_45,perc_unc,33.21495174933746
NT12004_22,perc_covered,66.72150887763688
NT12004_22,perc_unc,33.27849112236312
NT12013_22,perc_covered,66.72150887763688
NT12013_22,perc_unc,33.27849112236312
NT12014_22,perc_covered,66.72150887763688
NT12014_22,perc_unc,33.27849112236312
147,perc_covered,66.68443008533328
147,perc_unc,33.315569914666725
NT12298_342,perc_covered,66.65508715373942
NT12298_342,perc_unc,33.344912846260584
NT12095_187,perc_covered,66.63262298989552
NT12095_187,perc_unc,33.36737701010448
NT12421_391,perc_covered,66.59644161225722
NT12421_391,perc_unc,33.40355838774278
NT12319_354,perc_covered,66.5926428868432
NT12319_354,perc_unc,33.407357113156806
179,perc_covered,66.56329172344351
179,perc_unc,33.43670827655649
NT12032_221,perc_covered,66.56145981456673
NT12032_221,perc_unc,33.43854018543327
NT12347_359,perc_covered,66.53098087485826
NT12347_359,perc_unc,33.46901912514174
NT12105_263,perc_covered,66.51300918713713
NT12105_263,perc_unc,33.48699081286287
32,perc_covered,66.49016605409808
32,perc_unc,33.50983394590192
79,perc_covered,66.48538623710117
79,perc_unc,33.51461376289883
NT12050,perc_covered,66.46521472088865
NT12050,perc_unc,33.53478527911135
NT12123_272,perc_covered,66.45907628526511
NT12123_272,perc_unc,33.54092371473489
67,perc_covered,66.45378791902692
67,perc_unc,33.54621208097308
NT12107_264,perc_covered,66.44440467508164
NT12107_264,perc_unc,33.55559532491836
76,perc_covered,66.36758021759482
76,perc_unc,33.63241978240518
74,perc_covered,66.31129907666808
74,perc_unc,33.68870092333192
NT12041_224,perc_covered,66.28229938789032
NT12041_224,perc_unc,33.71770061210968
NT12002_188,perc_covered,66.16301253278206
NT12002_188,perc_unc,33.83698746721794
NT12035_47,perc_covered,66.16052251166111
NT12035_47,perc_unc,33.839477488338886
NT12021_218,perc_covered,66.15316622984508
NT12021_218,perc_unc,33.846833770154916
180,perc_covered,66.1524552873228
180,perc_unc,33.847544712677205
NT12029_43,perc_covered,66.14240056592915
NT12029_43,perc_unc,33.85759943407085
NT12091_12,perc_covered,66.13391968089118
NT12091_12,perc_unc,33.86608031910882
NT12351,perc_covered,66.13037218531258
NT12351,perc_unc,33.86962781468742
NT12017_35,perc_covered,66.12070525908929
NT12017_35,perc_unc,33.87929474091071
44,perc_covered,66.04929457058995
44,perc_unc,33.95070542941005
NT12426_777,perc_covered,66.00727364723332
NT12426_777,perc_unc,33.99272635276668
NT12036_48,perc_covered,65.92644031796455
NT12036_48,perc_unc,34.07355968203545
NT12417,perc_covered,65.92595490279092
NT12417,perc_unc,34.07404509720908
1.2,perc_covered,65.91605772549465
1.2,perc_unc,34.08394227450535
NT12316,perc_covered,65.87048329036601
NT12316,perc_unc,34.12951670963399
196,perc_covered,65.8226752618822
196,perc_unc,34.177324738117804
87,perc_covered,65.73943909355339
87,perc_unc,34.260560906446614
NT12074_248,perc_covered,65.73661224139863
NT12074_248,perc_unc,34.26338775860137
40,perc_covered,65.73657171645483
40,perc_unc,34.26342828354517
NT12349,perc_covered,65.70233759908926
NT12349,perc_unc,34.29766240091074
NT12141_284,perc_covered,65.70085142900412
NT12141_284,perc_unc,34.29914857099588
NT12063_57,perc_covered,65.6532675022911
NT12063_57,perc_unc,34.3467324977089
NT12043_226,perc_covered,65.61203633853609
NT12043_226,perc_unc,34.387963661463914
NT12051_54,perc_covered,65.57068649412636
NT12051_54,perc_unc,34.42931350587364
NT12084_257,perc_covered,65.54807871622009
NT12084_257,perc_unc,34.45192128377991
60,perc_covered,65.52873447126552
60,perc_unc,34.47126552873448
172,perc_covered,65.5192254031684
172,perc_unc,34.480774596831594
193,perc_covered,65.48614034156957
193,perc_unc,34.513859658430434
144,perc_covered,65.4563004703963
144,perc_unc,34.5436995296037
NT12435_399,perc_covered,65.43157755834214
NT12435_399,perc_unc,34.56842244165786
NT12006_215,perc_covered,65.42780231225687
NT12006_215,perc_unc,34.57219768774313
NT12350,perc_covered,65.35632466603813
NT12350,perc_unc,34.643675333961866
86,perc_covered,65.29239754521772
86,perc_unc,34.707602454782275
103,perc_covered,65.2639309037426
103,perc_unc,34.736069096257395
NT12386,perc_covered,65.25905392984242
NT12386,perc_unc,34.74094607015758
NT12111_265,perc_covered,65.21725465412203
NT12111_265,perc_unc,34.78274534587797
NT12125_274,perc_covered,65.21417424784201
NT12125_274,perc_unc,34.78582575215799
NT12433,perc_covered,65.19540504897263
NT12433,perc_unc,34.80459495102737
NT12320_355,perc_covered,65.18434220991716
NT12320_355,perc_unc,34.81565779008284
95,perc_covered,65.14574622917651
95,perc_unc,34.85425377082349
NT12321_356,perc_covered,65.13670814293263
NT12321_356,perc_unc,34.86329185706737
99,perc_covered,65.08199903925322
99,perc_unc,34.91800096074678
NT12405,perc_covered,65.06265996398771
NT12405,perc_unc,34.93734003601229
171,perc_covered,65.05394958323035
171,perc_unc,34.94605041676965
85,perc_covered,65.0518781767911
85,perc_unc,34.94812182320889
155,perc_covered,65.05103804164646
155,perc_unc,34.948961958353536
127,perc_covered,65.03243923775692
127,perc_unc,34.96756076224308
47,perc_covered,65.02080221754774
47,perc_unc,34.97919778245226
NT12110_97,perc_covered,64.99641440507953
NT12110_97,perc_unc,35.003585594920466
114,perc_covered,64.98449701043366
114,perc_unc,35.01550298956634
NT12399,perc_covered,64.91548155500365
NT12399,perc_unc,35.08451844499635
NT12442_402,perc_covered,64.91349755297664
NT12442_402,perc_unc,35.08650244702336
NT12440_401,perc_covered,64.90346304869914
NT12440_401,perc_unc,35.09653695130086
118,perc_covered,64.8793745436871
118,perc_unc,35.120625456312894
214,perc_covered,64.85976641101163
214,perc_unc,35.140233588988366
NT12380,perc_covered,64.85748715703164
NT12380,perc_unc,35.14251284296836
NT12106_94,perc_covered,64.85449114132675
NT12106_94,perc_unc,35.14550885867325
54,perc_covered,64.84313283045981
54,perc_unc,35.15686716954019
NT12327_134,perc_covered,64.84124212618346
NT12327_134,perc_unc,35.15875787381654
NT12352,perc_covered,64.82655457450736
NT12352,perc_unc,35.173445425492645
55,perc_covered,64.77560809228655
55,perc_unc,35.22439190771345
121,perc_covered,64.74241149602533
121,perc_unc,35.257588503974674
NT12382_374,perc_covered,64.72642772706337
NT12382_374,perc_unc,35.27357227293663
NT12101_91,perc_covered,64.70244991312065
NT12101_91,perc_unc,35.297550086879355
116,perc_covered,64.69851063300104
116,perc_unc,35.301489366998965
110,perc_covered,64.67274133518907
110,perc_unc,35.32725866481093
212,perc_covered,64.65552526015776
212,perc_unc,35.34447473984224
NT12099_89,perc_covered,64.649428822966
NT12099_89,perc_unc,35.350571177034
NT12404_383,perc_covered,64.62287976830613
NT12404_383,perc_unc,35.377120231693866
45,perc_covered,64.61806082862783
45,perc_unc,35.38193917137217
51,perc_covered,64.61543430520086
51,perc_unc,35.384565694799136
NT12578_703,perc_covered,64.60743466528605
NT12578_703,perc_unc,35.39256533471395
170,perc_covered,64.60078879771717
170,perc_unc,35.39921120228283
231,perc_covered,64.59995848929668
231,perc_unc,35.40004151070332
NT12401,perc_covered,64.58106260873839
NT12401,perc_unc,35.41893739126161
88,perc_covered,64.5655861744048
88,perc_unc,35.4344138255952
109,perc_covered,64.56210115591159
109,perc_unc,35.43789884408841
NT12613,perc_covered,64.55742946088321
NT12613,perc_unc,35.44257053911679
NT12113_98,perc_covered,64.5486378308038
NT12113_98,perc_unc,35.4513621691962
NT12045_52,perc_covered,64.52202144387394
NT12045_52,perc_unc,35.47797855612606
113,perc_covered,64.46642662947983
113,perc_unc,35.53357337052017
NT12443,perc_covered,64.45593947980888
NT12443,perc_unc,35.544060520191124
91,perc_covered,64.45331734107695
91,perc_unc,35.54668265892305
43,perc_covered,64.41898759090448
43,perc_unc,35.58101240909552
NT12271,perc_covered,64.37581906668248
NT12271,perc_unc,35.62418093331752
46,perc_covered,64.35838287361332
46,perc_unc,35.64161712638668
124,perc_covered,64.34967998180419
124,perc_unc,35.65032001819581
NT12119_102,perc_covered,64.3109597481047
NT12119_102,perc_unc,35.68904025189531
41,perc_covered,64.30278371779032
41,perc_unc,35.69721628220968
NT12368,perc_covered,64.29873846554867
NT12368,perc_unc,35.701261534451334
NT12315_352,perc_covered,64.24526846188962
NT12315_352,perc_unc,35.75473153811038
203,perc_covered,64.24268573567761
203,perc_unc,35.75731426432239
NT12355_361,perc_covered,64.21053417797967
NT12355_361,perc_unc,35.78946582202033
2,perc_covered,64.20099279802267
2,perc_unc,35.79900720197733
NT12031_44,perc_covered,64.1992710905857
NT12031_44,perc_unc,35.8007289094143
NT12020_217,perc_covered,64.19836229929305
NT12020_217,perc_unc,35.80163770070695
174,perc_covered,64.19604963256965
174,perc_unc,35.803950367430346
198,perc_covered,64.18206031857336
198,perc_unc,35.81793968142664
NT12376,perc_covered,64.17864257819056
NT12376,perc_unc,35.82135742180944
NT12413_387,perc_covered,64.17315735235863
NT12413_387,perc_unc,35.82684264764137
NT12457_191,perc_covered,64.08000768293559
NT12457_191,perc_unc,35.91999231706441
NT12030_220,perc_covered,64.0775727292359
NT12030_220,perc_unc,35.9224272707641
NT12414_388,perc_covered,64.05939876560473
NT12414_388,perc_unc,35.940601234395274
NT12344,perc_covered,64.03550755219212
NT12344,perc_unc,35.964492447807885
139,perc_covered,64.01520935390285
139,perc_unc,35.98479064609715
NT12348,perc_covered,63.9973199229665
NT12348,perc_unc,36.0026800770335
NT12377,perc_covered,63.9692348597777
NT12377,perc_unc,36.0307651402223
NT12207,perc_covered,63.95436310457896
NT12207,perc_unc,36.04563689542104
NT12131_107,perc_covered,63.919995884158666
NT12131_107,perc_unc,36.080004115841334
30,perc_covered,63.89007244220291
30,perc_unc,36.10992755779709
215,perc_covered,63.87882670078617
215,perc_unc,36.12117329921383
202,perc_covered,63.838261195097346
202,perc_unc,36.161738804902654
70,perc_covered,63.83536430406438
70,perc_unc,36.16463569593562
NT12115_267,perc_covered,63.797474068194646
NT12115_267,perc_unc,36.202525931805354
NT12258,perc_covered,63.77831179060153
NT12258,perc_unc,36.22168820939847
NT12237,perc_covered,63.760905204242576
NT12237,perc_unc,36.239094795757424
NT12293,perc_covered,63.738772654300746
NT12293,perc_unc,36.261227345699254
NT12406_384,perc_covered,63.734541708854465
NT12406_384,perc_unc,36.265458291145535
NT12240,perc_covered,63.71113235952313
NT12240,perc_unc,36.28886764047687
NT12087_260,perc_covered,63.69275920273532
NT12087_260,perc_unc,36.30724079726468
131,perc_covered,63.626491835588276
131,perc_unc,36.373508164411724
140,perc_covered,63.6202255776727
140,perc_unc,36.3797744223273
NT12458_192,perc_covered,63.61096709287541
NT12458_192,perc_unc,36.38903290712459
136,perc_covered,63.58300297974697
136,perc_unc,36.41699702025303
3,perc_covered,63.565389376003
3,perc_unc,36.434610623997
237,perc_covered,63.541793130472136
237,perc_unc,36.458206869527864
NT12450_34,perc_covered,63.53192981410004
NT12450_34,perc_unc,36.46807018589996
21,perc_covered,63.50681500111129
21,perc_unc,36.49318499888871
NT12149,perc_covered,63.45834040663225
NT12149,perc_unc,36.54165959336775
NT12118_269,perc_covered,63.45055042092791
NT12118_269,perc_unc,36.54944957907209
NT12046_227,perc_covered,63.443299072600276
NT12046_227,perc_unc,36.556700927399724
NT12011_132,perc_covered,63.4295591315672
NT12011_132,perc_unc,36.5704408684328
129,perc_covered,63.41024979234609
129,perc_unc,36.58975020765391
NT12044_51,perc_covered,63.40920273605756
NT12044_51,perc_unc,36.59079726394244
NT12047_228,perc_covered,63.38330856353719
NT12047_228,perc_unc,36.61669143646281
105,perc_covered,63.3807180688702
105,perc_unc,36.6192819311298
NT12081_59,perc_covered,63.36135430865287
NT12081_59,perc_unc,36.63864569134713
104,perc_covered,63.32752012944669
104,perc_unc,36.67247987055331
NT12090_204,perc_covered,63.28273237205083
NT12090_204,perc_unc,36.71726762794917
53,perc_covered,63.276152847797604
53,perc_unc,36.723847152202396
35,perc_covered,63.25444783870097
35,perc_unc,36.74555216129903
NT12086_259,perc_covered,63.21076509246043
NT12086_259,perc_unc,36.78923490753957
117,perc_covered,63.21037298261001
117,perc_unc,36.78962701738999
NT12134_279,perc_covered,63.20409750126667
NT12134_279,perc_unc,36.79590249873333
NT12103_262,perc_covered,63.192226187468094
NT12103_262,perc_unc,36.807773812531906
NT12394_379,perc_covered,63.16446982480193
NT12394_379,perc_unc,36.83553017519807
244,perc_covered,63.151992715542036
244,perc_unc,36.848007284457964
NT12179_315,perc_covered,63.14829948434423
NT12179_315,perc_unc,36.85170051565577
138,perc_covered,63.10083513826788
138,perc_unc,36.89916486173212
NT12016_152,perc_covered,63.09291812933476
NT12016_152,perc_unc,36.90708187066524
163,perc_covered,63.08972247908643
163,perc_unc,36.91027752091357
NT12148_289,perc_covered,63.089378948759546
NT12148_289,perc_unc,36.910621051240454
NT12028_42,perc_covered,63.07114260737174
NT12028_42,perc_unc,36.92885739262826
NT12548_673,perc_covered,63.06855555441495
NT12548_673,perc_unc,36.93144444558505
NT12112_266,perc_covered,63.043891743492765
NT12112_266,perc_unc,36.956108256507235
236,perc_covered,63.04090459165964
236,perc_unc,36.95909540834036
197,perc_covered,63.024912556498315
197,perc_unc,36.975087443501685
14,perc_covered,63.02230951409762
14,perc_unc,36.97769048590238
NT12078,perc_covered,63.01848308946207
NT12078,perc_unc,36.98151691053793
NT12152_292,perc_covered,63.00309863757406
NT12152_292,perc_unc,36.99690136242594
NT12070_245,perc_covered,62.994715963062895
NT12070_245,perc_unc,37.005284036937105
NT12532_179,perc_covered,62.9606112631757
NT12532_179,perc_unc,37.0393887368243
NT12100_90,perc_covered,62.955861774619606
NT12100_90,perc_unc,37.044138225380394
182,perc_covered,62.949117258736855
182,perc_unc,37.050882741263145
156,perc_covered,62.92624273532712
156,perc_unc,37.07375726467288
81,perc_covered,62.91803340195947
81,perc_unc,37.08196659804053
137,perc_covered,62.911555615052386
137,perc_unc,37.088444384947614
NT12236,perc_covered,62.89746823319713
NT12236,perc_unc,37.10253176680287
52,perc_covered,62.89207371051822
52,perc_unc,37.10792628948178
189,perc_covered,62.87873270947879
189,perc_unc,37.12126729052121
48,perc_covered,62.82945750245171
48,perc_unc,37.17054249754829
NT12381,perc_covered,62.804460469853254
NT12381,perc_unc,37.195539530146746
Nissle_Tn_parental,perc_covered,62.79367506871512
Nissle_Tn_parental,perc_unc,37.20632493128488
NT12173_309,perc_covered,62.787780249836835
NT12173_309,perc_unc,37.212219750163165
NT12429_397,perc_covered,62.76737140922365
NT12429_397,perc_unc,37.23262859077635
NT12356,perc_covered,62.7509194498963
NT12356,perc_unc,37.2490805501037
NT12241,perc_covered,62.74635404528889
NT12241,perc_unc,37.25364595471111
NT12419,perc_covered,62.74075698493843
NT12419,perc_unc,37.25924301506157
NT12617_147,perc_covered,62.717010431840805
NT12617_147,perc_unc,37.282989568159195
NT12335_135,perc_covered,62.6969585117675
NT12335_135,perc_unc,37.3030414882325
NT12339,perc_covered,62.682431881078706
NT12339,perc_unc,37.317568118921294
208,perc_covered,62.67089704661297
208,perc_unc,37.32910295338703
NT12415,perc_covered,62.66338063172103
NT12415,perc_unc,37.33661936827897
96,perc_covered,62.648629884191735
96,perc_unc,37.351370115808265
NT12150_291,perc_covered,62.62818113944558
NT12150_291,perc_unc,37.37181886055442
210,perc_covered,62.617825454960176
210,perc_unc,37.382174545039824
232,perc_covered,62.59232762071587
232,perc_unc,37.40767237928413
NT12172_308,perc_covered,62.589430662711955
NT12172_308,perc_unc,37.410569337288045
20,perc_covered,62.58874025183177
20,perc_unc,37.41125974816823
209,perc_covered,62.58621116652806
209,perc_unc,37.41378883347194
158,perc_covered,62.57734404441244
158,perc_unc,37.42265595558756
NT12428,perc_covered,62.545139285250364
NT12428,perc_unc,37.454860714749636
NT12542_667,perc_covered,62.52309996625362
NT12542_667,perc_unc,37.47690003374638
NT12122_271,perc_covered,62.50926221941459
NT12122_271,perc_unc,37.49073778058541
8,perc_covered,62.4940456026637
8,perc_unc,37.5059543973363
NT12307,perc_covered,62.49125534072929
NT12307,perc_unc,37.50874465927071
NT12120_270,perc_covered,62.485570638068225
NT12120_270,perc_unc,37.514429361931775
42,perc_covered,62.478711613521966
42,perc_unc,37.521288386478034
31,perc_covered,62.43166959605247
31,perc_unc,37.56833040394753
132,perc_covered,62.397364081032705
132,perc_unc,37.602635918967295
NT12596_721,perc_covered,62.392968551377926
NT12596_721,perc_unc,37.607031448622074
149,perc_covered,62.391590500081364
149,perc_unc,37.608409499918636
240,perc_covered,62.38521925397962
240,perc_unc,37.61478074602038
NT12039_223,perc_covered,62.38426170268786
NT12039_223,perc_unc,37.61573829731214
150,perc_covered,62.382982102451535
150,perc_unc,37.617017897548465
15,perc_covered,62.3793485635916
15,perc_unc,37.6206514364084
NT12079_253,perc_covered,62.36156433515271
