met_name,n,reaction,ec_number,ID,common_name,names,spontaneous,systematic_name,pathway
Niacin,1,NA,NA,NA,NA,NA,NA,NA,NA
S-Adenosyl-homocysteine,1,NA,NA,NA,NA,NA,NA,NA,NA
Shikimate,1,NA,NA,NA,NA,NA,NA,NA,NA
AMP,2,RXN-21127,NA,RXN-21127,NA,NA,NA,NA,PWY-8117 // RXN-21150
AMP,2,RXN-13039,NA,RXN-13039,NA,NA,NA,NA,PWY-6984 // RXN0-1141
AMP,2,RXN-16393,EC-6.2.1.2 // EC-6.2.1.3,RXN-16393,NA,NA,NA,NA,PWY-5971
AMP,2,PHENYLALANINE--TRNA-LIGASE-RXN,EC-6.1.1.20,PHENYLALANINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-16874,EC-6.3.2,RXN-16874,NA,NA,NA,NA,PWY-7690
AMP,2,RXN-17191,EC-2.3.1,RXN-17191,NA,NA,NA,NA,RXN-19481 // PWY-7769 // PWY-6322
AMP,2,PANTOATE-BETA-ALANINE-LIG-RXN,EC-6.3.2.1,PANTOATE-BETA-ALANINE-LIG-RXN,NA,NA,NA,NA,PANTO-PWY
AMP,2,ISOLEUCINE--TRNA-LIGASE-RXN,EC-6.1.1.5,ISOLEUCINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,ACYLACPSYNTH-RXN,EC-6.2.1.20,ACYLACPSYNTH-RXN,NA,NA,NA,NA,PWY185E-1 // PWY-7032
AMP,2,VALINE--TRNA-LIGASE-RXN,EC-6.1.1.9,VALINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,GLURS-RXN,EC-6.1.1.17,GLURS-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY // PWY-5188
AMP,2,RXN-9673,EC-6.2.1.3,RXN-9673,NA,NA,NA,NA,PWY-6000
AMP,2,RXN-17941,EC-6.5.1,RXN-17941,NA,NA,NA,NA,PWY-6689 // RXN-12056
AMP,2,PROLINE--TRNA-LIGASE-RXN,EC-6.1.1.15,PROLINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-11781,EC-6.3.2.36,RXN-11781,NA,NA,NA,NA,PWY-6654
AMP,2,RXN-19518,EC-6.3.2,RXN-19518,NA,NA,NA,NA,PWY-761
AMP,2,RXN-9676,NA,RXN-9676,NA,NA,NA,NA,PWY-6003
AMP,2,RXN-9092,EC-6.2.1.40,RXN-9092,NA,NA,NA,NA,PWY-5789
AMP,2,LCARNCOALIG-RXN,EC-6.2.1.48,LCARNCOALIG-RXN,NA,NA,NA,NA,CARNMET-PWY
AMP,2,RXN-18538,NA,RXN-18538,NA,NA,NA,NA,PWY-7742 // RXN-18539
AMP,2,RXN1A0-6104,EC-6.2.1.53,RXN1A0-6104,NA,NA,NA,NA,PWY1A0-6120
AMP,2,RXN-18532,NA,RXN-18532,NA,NA,NA,NA,PWY-7743 // PWY-7744 // RXN-18531
AMP,2,RXN-19446,NA,RXN-19446,NA,NA,NA,NA,PWY-7987 // PWY-7986 // PWY-7984 // RXN-19447
AMP,2,RXN-19463,NA,RXN-19463,NA,NA,NA,NA,PWY-7986 // RXN-19464
AMP,2,RXN-14666,NA,RXN-14666,NA,NA,NA,NA,PWY-7304
AMP,2,AMP-DEPHOSPHORYLATION-RXN,EC-3.1.3.5,AMP-DEPHOSPHORYLATION-RXN,NA,NA,NA,NA,SALVADEHYPOX-PWY
AMP,2,RXN-16418,EC-6.2.1.3,RXN-16418,NA,NA,NA,NA,PWY-1121
AMP,2,RXN-19466,NA,RXN-19466,NA,NA,NA,NA,RXN-19470 // PWY-6408
AMP,2,RXN-15000,EC-6.2.1,RXN-15000,NA,NA,NA,NA,PWY-7620
AMP,2,"NADPYROPHOSPHAT-RXN",EC-3.6.1.22,"NADPYROPHOSPHAT-RXN",NA,NA,NA,NA,PWY-5381 // PWY-7761 // PYRIDNUCSAL-PWY // NAD-BIOSYNTHESIS-II
AMP,2,RXN-10997,NA,RXN-10997,NA,NA,NA,NA,PWY-6375
AMP,2,METHIONINE--TRNA-LIGASE-RXN,EC-6.1.1.10,METHIONINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN490-3616,EC-6.1.1.23,RXN490-3616,Aspartate--tRNA ligase,Aspartate--tRNA ligase // Aspartate translase // Aspartate-tRNA synthetase,NA,NA,PWY490-4
