ID	Matches	Object_ID	InChI_Key	smiles	name
CPD-14378	Polyamines	CPD-14378	YAVLYBVKPXLZEQ-UXBLZVDNSA-Q	C([NH3+])CC/[NH+]=C/CCC[NH3+]	(E)-(4-aminobutylidene)(3-aminopropyl)amine
CPD-20029	Polyamines	CPD-20029	HXMVNCMPQGPRLN-UHFFFAOYSA-P	C([NH3+])C(O)CC[NH3+]	2-hydroxyputrescine
CPD-11476	Polyamines	CPD-11476	IMDGSDQDBBVVDA-UHFFFAOYSA-P	C([NH3+])CCC[NH2+]CCCNC(C1(\C=C/C(/O)=C(/C=1)/O))=O	3,4-dihydroxybenzoate-spermidine
CPD-23336	Polyamines	CPD-23336	KKGJQGHGLGXNII-UHFFFAOYSA-P	C([NH3+])CCC=[NH2+]	4-iminobutan-1-amine
CPD-20969	Polyamines	CPD-20969	BBTNLADSUVOPPN-UHFFFAOYSA-N	C1(N)(=C(N)C(=O)NC(=O)N1)	5,6-diaminouracil
CPD-10194	Polyamines	CPD-10194	RMOIHHAKNOFHOE-UHFFFAOYSA-O	CC(=O)NCCCCC[NH3+]	acetylcadaverine
CPD0-1065	Polyamines	CPD0-1065	QZBYOYPROVGOGE-UHFFFAOYSA-Q	C(CC[NH2+]CCCCC[NH3+])[NH3+]	aminopropylcadaverine
CADAVERINE	Polyamines	CADAVERINE	VHRGRCVQAFMJIZ-UHFFFAOYSA-P	C([NH3+])CCCC[NH3+]	cadaverine
CPD-13491	Polyamines	CPD-13491	BELZJFWUNQWBES-UHFFFAOYSA-S	C([NH3+])CC[NH2+]CCC[NH2+]CCC[NH2+]CCC[NH3+]	caldopentamine
CPD-22711	Polyamines	CPD-22711	UJMCAHHGTKIXAU-UHFFFAOYSA-T	C([NH3+])CC[NH2+]CCC[NH2+]CCC[NH2+]CCC[NH2+]CCC[NH3+]	caldophexamine
CPD0-1239	Polyamines	CPD0-1239	MLGYPSMVMFEFLH-UHFFFAOYSA-P	C(F)C(C[NH3+])C[NH3+]	monofluoromethylputrescine
CPD-6121	Polyamines	CPD-6121	JNZUMEMWAPJNLC-UHFFFAOYSA-P	C(CC[NH3+])[NH2+]CCCC=O	N-(3-aminopropyl)-4-aminobutanal
