met_id,met_name,n
cpd00019,S-Adenosyl-homocysteine,1
cpd00218,Niacin,1
cpd00383,Shikimate,1
cpd00018,AMP,2
cpd00654,Deoxycytidine,2
cpd01318,Glycocholate,2
cpd03047,Taurocholate,2
cpd03246,Taurochenodeoxycholate,2
cpd03247,Glycochenodeoxycholate,2
cpd00091,UMP,4
cpd00003,"NAD",6
cpd00215,Pyridoxal,7
cpd00046,CMP,10
cpd11595,chromate,20
cpd90022,Xylan-b-1-4,20
cpd00793,Thiamine phosphate,26
cpd01015,Cyanate,417
cpd23430,isocholate,427
cpd23431,3-dehydrocholate,427
cpd01048,Arsenate,433
cpd00133,Nicotinamide,547
cpd22614,sulfoquinovose,695
cpd31356,"(S)-2,3-Dihydroxypropane-1-sulfonate",696
cpd00526,Cholate,718
cpd01663,Chenodiol,718
cpd02829,"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",718
cpd35610,3alpha-hydroxy-7-oxo-5beta-cholan-24-oate,718
cpd01092,Allantoin,721
cpd01376,Cellotetraose,721
cpd11746,Cellulose,721
cpd00382,Melitose,727
cpd01132,Puromycin,727
cpd00176,2-keto-3-deoxygluconate,729
cpd01262,Amylotriose,729
cpd01354,beta-Lactose,729
cpd03808,Lacto-N-biose,729
cpd08305,crotonobetaine,729
cpd00307,Cytosine,730
cpd00412,Deoxyuridine,730
cpd00006,"NADP",731
cpd03724,Ferrichrome,732
cpd90003,"starch (n=27, 3xalpha1-6, 23xalpha1-4)",732
cpd90004,"starch (n=19, 3xalpha1-6, 15xalpha1-4)",732
cpd90020,Cellulose,733
cpd00214,Palmitate,734
cpd00249,Uridine,734
cpd01080,ocdca,734
cpd01107,Decanoate,734
cpd01113,Hexanoate,734
cpd01741,ddca,734
cpd03846,octanoate,734
cpd03847,Myristic acid,734
cpd15237,hexadecenoate,734
cpd15269,octadecenoate,734
cpd15298,tetradecenoate,734
cpd90005,Maltooctaose,734
cpd90006,Maltoundecaose,734
cpd90007,Maltohexaose,734
cpd90008,Maltotridecaose,734
cpd00047,Formate,735
cpd00393,Folate,735
cpd00870,gamma-butyrobetaine,735
cpd01030,Salicin,735
cpd04097,Pb,735
cpd00001,H2O,736
cpd00007,O2,736
cpd00009,Phosphate,736
cpd00010,CoA,736
cpd00011,CO2,736
cpd00013,NH3,736
cpd00017,S-Adenosyl-L-methionine,736
cpd00020,Pyruvate,736
cpd00023,L-Glutamate,736
cpd00024,2-Oxoglutarate,736
cpd00025,H2O2,736
cpd00027,D-Glucose,736
cpd00028,Heme,736
cpd00029,Acetate,736
cpd00030,Mn2+,736
cpd00033,Glycine,736
cpd00034,Zn2+,736
cpd00035,L-Alanine,736
cpd00036,Succinate,736
cpd00038,GTP,736
cpd00039,L-Lysine,736
cpd00041,L-Aspartate,736
cpd00048,Sulfate,736
cpd00051,L-Arginine,736
cpd00053,L-Glutamine,736
cpd00054,L-Serine,736
cpd00055,Formaldehyde,736
cpd00058,Cu2+,736
cpd00059,L-Ascorbate,736
cpd00060,L-Methionine,736
cpd00063,Ca2+,736
cpd00064,Ornithine,736
cpd00065,L-Tryptophan,736
cpd00066,L-Phenylalanine,736
cpd00067,H+,736
cpd00069,L-Tyrosine,736
cpd00071,Acetaldehyde,736
cpd00073,Urea,736
cpd00075,Nitrite,736
cpd00076,Sucrose,736
cpd00080,Glycerol-3-phosphate,736
cpd00082,D-Fructose,736
cpd00084,L-Cysteine,736
cpd00092,Uracil,736
cpd00098,Choline,736
cpd00099,Cl-,736
cpd00100,Glycerol,736
cpd00104,BIOT,736
cpd00105,D-Ribose,736
cpd00106,Fumarate,736
cpd00107,L-Leucine,736
