,length,name
0,125,group_5731
1,142,group_3699
2,125,group_5732
3,368,mnmA
4,456,purB
5,376,roxA
6,287,potB
7,348,potD
8,233,lolD
9,399,lolC
10,213,lpoB
11,119,hinT
12,477,ptsG_1
13,265,ycfH
14,334,holB
15,78,group_3235
16,57,rpmF
17,319,rluC
18,511,murJ
19,85,bssS
20,184,ycdY
21,212,rutR
22,390,torC
23,230,torR
24,57,gnsA
25,372,hyaA
26,105,hspQ
27,137,yccU
28,152,mgsA
29,148,yccF
30,720,yccS
31,55,rmf
32,215,gloC
33,182,mepK
34,234,mukE
35,582,msbA_1
36,94,ihfB
37,227,cmk
38,362,serC
39,430,serS
40,164,lrp
41,72,infA
42,74,cspD
43,242,artP
44,243,artI
45,162,ybjO
46,158,ybjN
47,125,ybjM
48,253,deoR
49,441,rimO
50,531,ybiT
51,306,ldtB
52,155,mntR
53,171,ompX
54,167,dps
55,578,ybhF
56,253,ybhP
57,234,ybhL
58,150,moaE
59,161,moaC
60,352,modC
61,348,galT
62,250,gpmA
63,173,pal
64,142,tolR
65,289,sucD_1
66,388,sucC_1
67,238,sdhB
68,115,sdhD
69,427,gltA
70,546,pgm
71,181,seqA
72,176,fldA
73,148,fur
74,253,ygbI_1
75,266,nagB
76,382,nagA_1
77,554,asnB
78,359,ybeZ
79,155,ybeY
80,292,ybeX
81,461,cysS
82,169,purE
83,284,cnoX
84,624,htpG
85,201,recR
86,183,apt
87,53,group_6549
88,1121,mscK
89,124,tomB
90,190,ybaY
91,231,queC
92,784,lon
93,432,tig
94,204,cyoC
95,163,yajQ
96,299,ispA
97,172,pgpA
98,139,nusB
99,156,ribE
100,149,nrdR
101,323,secF
102,110,yajC
103,439,brnQ
104,229,phoB
105,174,aroL
106,269,proC
107,364,ddlA
108,248,ydfG
109,548,fumA
110,192,rsxB
111,371,anmK
112,135,gloA
113,215,rnt
114,115,grxD
115,341,purR
116,78,lpp
117,62,ydiH
118,136,menI
119,326,btuC
120,99,ihfA
121,118,rplT
122,65,rpmI
123,144,infC
124,116,chbA
125,275,nadE
126,252,ydjF
127,60,group_6052
128,115,yoaB
129,59,yoaH
130,192,nudL
131,69,cspC
132,261,znuB_1
133,336,ruvB
134,203,ruvA
135,246,yebC
136,590,aspS
137,247,cmoA
138,167,ftnB
139,182,pgsA
140,222,tcyL
141,457,fliI
142,169,group_486
143,98,fis
144,156,accB
145,489,rng
146,67,group_5495
147,310,aaeA
148,312,mdh
149,355,degS
150,132,group_5306
151,142,rplM
152,130,rpsI
153,212,sspA
154,165,sspB
155,297,nanA
156,496,nanT
157,229,nanE
158,95,hpf
159,477,rpoN
160,185,lptA
161,188,kdsC
162,269,mlaF
163,211,mlaC
164,103,rplU
165,85,rpmA
166,158,greA
167,209,rlmE
168,445,glmM
169,110,secG
170,495,nusA
171,898,infB
172,314,truB
173,89,rpsO
174,292,ubiV
175,174,ubiT
176,167,yhbS
177,191,yraP
178,196,diaA
179,256,garL
180,129,tdcF
181,436,cyuA
182,134,yqjE
183,101,group_7654
184,220,yqjA
185,71,rpsU
186,205,plsY
187,122,folB
188,273,bacA
189,206,ygiM
190,477,hldE_1
191,217,ribB
192,56,yqiD
193,193,yqiA
194,231,group_5238
195,304,rbsK_2
196,358,yegU_1
197,130,ygiW
198,246,plsC
199,249,uxuR_1
200,141,exbD
201,328,hybA
202,392,hybB
203,164,hybD
204,113,hybF
205,82,hybG
206,342,group_7069
207,373,gmd
208,213,udk
209,240,baeR
210,453,trhP
211,248,yegW
212,90,rcnR
213,239,btsR
214,132,yohJ
215,231,yohK_1
216,294,cdd
217,346,galS
218,489,lysP
219,190,yeiP
220,188,mepS
