# gapseq version: 1.2 9b30141
# Transporter sequence DB md5sum: b99a77e (2022-05-13)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	99.711	0.0	1057	100	9 length=114865 depth=1.01x	29452	31527	transporter
gnl|TC-DB|P31069|1.A.1.13.1	1.A.1.13.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P31069|1.A.1.13.1	99.520	0.0	792	100	52 length=35303 depth=0.96x	14858	16108	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.633	1.02e-20	89.0	75	23 length=64172 depth=1.03x	3843	4418	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	25.862	1.15e-08	53.1	80	6 length=116028 depth=1.05x	27799	28464	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	100.000	7.83e-143	437	100	11 length=113402 depth=1.02x	82807	82172	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	100.000	0.0	2144	100	23 length=64172 depth=1.03x	36414	33055	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	100.000	0.0	2144	100	23 length=64172 depth=1.03x	36414	33055	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	100.000	0.0	1334	100	2 length=125897 depth=0.95x	75633	73411	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	100.000	0.0	1334	100	2 length=125897 depth=0.95x	75633	73411	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	100.000	0.0	645	100	13 length=98367 depth=0.98x	70804	69776	transporter
gnl|TC-DB|Q8EGR5|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR5|1.A.30.1.6	23.875	4.47e-09	55.1	93	9 length=114865 depth=1.01x	18292	19023	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	90.615	3.10e-179	546	100	9 length=114865 depth=1.01x	18247	19170	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	99.590	7.48e-161	490	100	44 length=38566 depth=1.05x	5287	4556	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	99.565	1.97e-152	466	100	42 length=41798 depth=0.94x	5401	4712	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	97.638	1.91e-68	220	100	57 length=29942 depth=0.96x	5775	5395	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	55.738	7.84e-110	347	100	27 length=54682 depth=0.98x	29865	28954	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	33.333	3.33e-19	82.4	96	1 length=201707 depth=1.01x	155869	155276	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	33.333	3.33e-19	82.4	96	1 length=201707 depth=1.01x	155869	155276	transporter
gnl|TC-DB|Q66I64|1.A.8.10.16	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q66I64|1.A.8.10.16	30.435	6.16e-15	71.6	80	29 length=54137 depth=0.98x	44387	43704	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.273	6.18e-16	74.3	82	29 length=54137 depth=0.98x	44342	43704	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	31.356	2.98e-11	60.5	87	29 length=54137 depth=0.98x	44381	43704	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	100.000	1.20e-171	523	100	17 length=80999 depth=0.93x	32412	31570	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	39.269	8.31e-30	115	75	29 length=54137 depth=0.98x	44360	43707	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	29.268	4.45e-16	75.9	75	17 length=80999 depth=0.93x	32385	31651	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	37.321	6.96e-16	74.3	80	29 length=54137 depth=0.98x	44324	43761	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	33.333	2.81e-24	98.6	99	17 length=80999 depth=0.93x	32397	31642	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	38.889	1.35e-18	81.3	89	29 length=54137 depth=0.98x	44324	43707	transporter
