Genome,Fraction,length
1,Metab_model_size,2962927
1,Genome_diff,1880014
1.2,Metab_model_size,3125993
1.2,Genome_diff,1666205
1.3,Metab_model_size,3083071
1.3,Genome_diff,2063083
100,Metab_model_size,3032681
100,Genome_diff,1967424
101,Metab_model_size,3071228
101,Genome_diff,1988607
102,Metab_model_size,3144907
102,Genome_diff,2207298
103,Metab_model_size,3126900
103,Genome_diff,1711336
104,Metab_model_size,3137363
104,Genome_diff,1883391
105,Metab_model_size,3134767
105,Genome_diff,1877677
106,Metab_model_size,3127519
106,Genome_diff,2243095
107,Metab_model_size,3097155
107,Genome_diff,2075352
108,Metab_model_size,2948290
108,Genome_diff,2137572
109,Metab_model_size,3113450
109,Genome_diff,1759068
110,Metab_model_size,3028948
110,Genome_diff,1704479
111,Metab_model_size,3040067
111,Genome_diff,2214999
112,Metab_model_size,3142720
112,Genome_diff,2123703
113,Metab_model_size,3021508
113,Genome_diff,1716369
114,Metab_model_size,3106631
114,Genome_diff,1720825
115,Metab_model_size,3148816
115,Genome_diff,2118672
116,Metab_model_size,3113600
116,Genome_diff,1746787
117,Metab_model_size,3055421
117,Genome_diff,1845156
118,Metab_model_size,3118438
118,Genome_diff,1728839
119,Metab_model_size,3094170
119,Genome_diff,2137096
120,Metab_model_size,3093726
120,Genome_diff,2152248
121,Metab_model_size,3060631
121,Genome_diff,1722657
123,Metab_model_size,3089702
123,Genome_diff,2165951
124,Metab_model_size,3020427
124,Genome_diff,1723522
125,Metab_model_size,3087745
125,Genome_diff,2169716
126,Metab_model_size,3098403
126,Genome_diff,1954407
127,Metab_model_size,3096762
127,Genome_diff,1713462
128,Metab_model_size,3106900
128,Genome_diff,2070392
129,Metab_model_size,2964349
129,Genome_diff,1758654
130,Metab_model_size,3116168
130,Genome_diff,2251742
131,Metab_model_size,2959030
131,Genome_diff,1749515
132,Metab_model_size,2984676
132,Genome_diff,1849767
133,Metab_model_size,2996757
133,Genome_diff,1872280
134,Metab_model_size,3066530
134,Genome_diff,2059797
135,Metab_model_size,3053505
135,Genome_diff,1949049
136,Metab_model_size,3011137
136,Genome_diff,1787257
137,Metab_model_size,3089541
137,Genome_diff,1878044
138,Metab_model_size,3088048
138,Genome_diff,1862270
139,Metab_model_size,3034856
139,Genome_diff,1759036
14,Metab_model_size,3084900
14,Genome_diff,1859941
140,Metab_model_size,3069238
140,Genome_diff,1814756
141,Metab_model_size,3127684
141,Genome_diff,1490525
142,Metab_model_size,3123063
142,Genome_diff,1493965
143,Metab_model_size,2927497
143,Genome_diff,2154967
144,Metab_model_size,3144821
144,Genome_diff,1710872
145,Metab_model_size,3083575
145,Genome_diff,2076326
146,Metab_model_size,3084009
146,Genome_diff,2176980
147,Metab_model_size,3162320
147,Genome_diff,1630301
148,Metab_model_size,3096249
148,Genome_diff,2208521
149,Metab_model_size,3063021
149,Genome_diff,1902411
15,Metab_model_size,3072646
15,Genome_diff,1905952
150,Metab_model_size,3060291
150,Genome_diff,1901450
151,Metab_model_size,3090999
151,Genome_diff,1993232
152,Metab_model_size,3093894
152,Genome_diff,2002805
153,Metab_model_size,3096942
153,Genome_diff,2235247
155,Metab_model_size,3153520
155,Genome_diff,1750763
156,Metab_model_size,2982662
156,Genome_diff,1801965
157,Metab_model_size,2076881
157,Genome_diff,2917810
158,Metab_model_size,3147741
158,Genome_diff,1923270
159,Metab_model_size,3106939
159,Genome_diff,1984397
16,Metab_model_size,3062916
16,Genome_diff,2006311
160,Metab_model_size,3064011
160,Genome_diff,2043035
161,Metab_model_size,3118196
161,Genome_diff,2053728
162,Metab_model_size,3061138
162,Genome_diff,2057187
163,Metab_model_size,3140533
163,Genome_diff,1879413
164,Metab_model_size,3112977
164,Genome_diff,2058114
165,Metab_model_size,3071857
165,Genome_diff,2133734
166,Metab_model_size,3017569
166,Genome_diff,2061356
168,Metab_model_size,2994161
168,Genome_diff,1926760
169,Metab_model_size,2994332
169,Genome_diff,1928698
170,Metab_model_size,3056775
170,Genome_diff,1724679
171,Metab_model_size,3120428
171,Genome_diff,1726134
172,Metab_model_size,3111604
172,Genome_diff,1687073
173,Metab_model_size,3026107
173,Genome_diff,1985666
174,Metab_model_size,3099788
174,Genome_diff,1786036
175,Metab_model_size,3042946
175,Genome_diff,1983215
176,Metab_model_size,3034819
176,Genome_diff,1982472
177,Metab_model_size,3049176
177,Genome_diff,1980860
179,Metab_model_size,3132352
179,Genome_diff,1612834
18,Metab_model_size,2996964
18,Genome_diff,2328596
180,Metab_model_size,3167665
180,Genome_diff,1669386
181,Metab_model_size,3130066
181,Genome_diff,1576177
182,Metab_model_size,3125011
182,Genome_diff,1885234
183,Metab_model_size,3069425
183,Genome_diff,2061808
184,Metab_model_size,3029239
184,Genome_diff,1989942
185,Metab_model_size,3081466
185,Genome_diff,2332024
186,Metab_model_size,3071632
186,Genome_diff,2115331
187,Metab_model_size,3046239
187,Genome_diff,1935215
188,Metab_model_size,3157094
188,Genome_diff,1522464
189,Metab_model_size,3069299
189,Genome_diff,1874161
19,Metab_model_size,3059057
19,Genome_diff,1912869
191,Metab_model_size,3100983
191,Genome_diff,1928906
192,Metab_model_size,2639949
192,Genome_diff,2397324
193,Metab_model_size,3127655
193,Genome_diff,1716512
194,Metab_model_size,3122165
194,Genome_diff,1566923
195,Metab_model_size,3102370
195,Genome_diff,1533841
196,Metab_model_size,3096722
196,Genome_diff,1663911
197,Metab_model_size,3124364
197,Genome_diff,1894591
198,Metab_model_size,3116079
198,Genome_diff,1792492
199,Metab_model_size,3105703
199,Genome_diff,2060513
2,Metab_model_size,3139290
2,Genome_diff,1799076
2.3,Metab_model_size,3936632
2.3,Genome_diff,3419535
20,Metab_model_size,3153868
20,Genome_diff,1936832
200,Metab_model_size,3048184
200,Genome_diff,2007482
201,Metab_model_size,3046080
201,Genome_diff,2010429
202,Metab_model_size,3145239
202,Genome_diff,1839242
203,Metab_model_size,2998600
203,Genome_diff,1729490
204,Metab_model_size,3015649
204,Genome_diff,2039707
205,Metab_model_size,2966675
205,Genome_diff,1884799
206,Metab_model_size,3049528
206,Genome_diff,2197531
207,Metab_model_size,3047322
207,Genome_diff,2168284
208,Metab_model_size,3065895
208,Genome_diff,1884015
209,Metab_model_size,3100234
209,Genome_diff,1906658
21,Metab_model_size,2982989
21,Genome_diff,1777245
210,Metab_model_size,3096227
210,Genome_diff,1901738
211,Metab_model_size,3042312
211,Genome_diff,2073097
212,Metab_model_size,3155764
212,Genome_diff,1781913
214,Metab_model_size,3167724
214,Genome_diff,1770180
215,Metab_model_size,3071105
215,Genome_diff,1793366
216,Metab_model_size,3082738
216,Genome_diff,2003293
217,Metab_model_size,3105048
217,Genome_diff,2033952
219,Metab_model_size,3045743
219,Genome_diff,2188871
22,Metab_model_size,3029394
22,Genome_diff,2094409
220,Metab_model_size,3097004
220,Genome_diff,2030445
222,Metab_model_size,3120870
222,Genome_diff,2030046
223,Metab_model_size,3081981
223,Genome_diff,2109489
224,Metab_model_size,3070706
224,Genome_diff,2107362
225,Metab_model_size,3171508
225,Genome_diff,2264675
228,Metab_model_size,3075935
228,Genome_diff,2022791
23,Metab_model_size,2959381
23,Genome_diff,2083478
231,Metab_model_size,3123844
231,Genome_diff,1766461
232,Metab_model_size,3039966
232,Genome_diff,1878795
236,Metab_model_size,3024836
236,Genome_diff,1829509
237,Metab_model_size,3001153
237,Genome_diff,1776235
239,Metab_model_size,3073772
239,Genome_diff,2066043
24,Metab_model_size,3032308
24,Genome_diff,2052362
240,Metab_model_size,3101878
240,Genome_diff,1924553
244,Metab_model_size,3025957
244,Genome_diff,1821624
25,Metab_model_size,3029281
25,Genome_diff,2047101
26,Metab_model_size,3031166
26,Genome_diff,2060073
27,Metab_model_size,3029226
27,Genome_diff,2247137
28,Metab_model_size,3087365
28,Genome_diff,2032373
29,Metab_model_size,3010136
29,Genome_diff,2115271
3,Metab_model_size,3152735
3,Genome_diff,1860350
30,Metab_model_size,2885863
30,Genome_diff,1690751
31,Metab_model_size,3048004
31,Genome_diff,1891598
32,Metab_model_size,3024756
32,Genome_diff,1592414
33,Metab_model_size,3054690
33,Genome_diff,2009965
34,Metab_model_size,2997811
34,Genome_diff,1916198
35,Metab_model_size,3031131
35,Genome_diff,1812345
36,Metab_model_size,3014977
36,Genome_diff,1903271
37,Metab_model_size,2965716
37,Genome_diff,1431770
38,Metab_model_size,3001584
38,Genome_diff,1915071
39,Metab_model_size,3052518
39,Genome_diff,2489689
40,Metab_model_size,3125632
40,Genome_diff,1681870
41,Metab_model_size,3148507
41,Genome_diff,1809395
42,Metab_model_size,3134564
42,Genome_diff,1929817
43,Metab_model_size,3132149
43,Genome_diff,1776025
44,Metab_model_size,3102672
44,Genome_diff,1652375
45,Metab_model_size,3011143
45,Genome_diff,1697002
