# gapseq version: 1.2 9b30141
# Transporter sequence DB md5sum: b99a77e (2022-05-13)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	99.711	0.0	1057	100	NZ_SMTC01000012.1 Escherichia coli OP50 NODE_12_length_115119_cov_68.863295, whole genome shotgun sequence	29579	31654	transporter
gnl|TC-DB|P31069|1.A.1.13.1	1.A.1.13.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P31069|1.A.1.13.1	99.520	0.0	792	100	NZ_SMTC01000009.1 Escherichia coli OP50 NODE_9_length_128571_cov_65.932562, whole genome shotgun sequence	14984	16234	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.633	1.01e-20	89.0	75	NZ_SMTC01000053.1 Escherichia coli OP50 NODE_53_length_14695_cov_73.029997, whole genome shotgun sequence	4280	4855	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	25.862	1.18e-08	53.1	80	NZ_SMTC01000006.1 Escherichia coli OP50 NODE_6_length_161412_cov_83.356555, whole genome shotgun sequence	28925	29590	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	100.000	8.03e-143	437	100	NZ_SMTC01000002.1 Escherichia coli OP50 NODE_2_length_317281_cov_80.956677, whole genome shotgun sequence	270713	270078	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	100.000	0.0	2144	100	NZ_SMTC01000030.1 Escherichia coli OP50 NODE_30_length_50247_cov_73.885854, whole genome shotgun sequence	22363	19004	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	100.000	0.0	2144	100	NZ_SMTC01000030.1 Escherichia coli OP50 NODE_30_length_50247_cov_73.885854, whole genome shotgun sequence	22363	19004	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	100.000	0.0	1334	100	NZ_SMTC01000001.1 Escherichia coli OP50 NODE_1_length_444902_cov_72.392994, whole genome shotgun sequence	172484	170262	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	100.000	0.0	1334	100	NZ_SMTC01000001.1 Escherichia coli OP50 NODE_1_length_444902_cov_72.392994, whole genome shotgun sequence	172484	170262	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	100.000	0.0	645	100	NZ_SMTC01000016.1 Escherichia coli OP50 NODE_16_length_98616_cov_68.033638, whole genome shotgun sequence	70926	69898	transporter
gnl|TC-DB|Q8EGR5|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR5|1.A.30.1.6	23.875	4.58e-09	55.1	93	NZ_SMTC01000012.1 Escherichia coli OP50 NODE_12_length_115119_cov_68.863295, whole genome shotgun sequence	18419	19150	transporter
