# gapseq version: 1.2 9b30141
# Transporter sequence DB md5sum: b99a77e (2022-05-13)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	99.711	0.0	1057	100	NZ_WIDO01000012.1 Escherichia coli OP50 NODE_12_length_115119_cov_63.492008, whole genome shotgun sequence	85541	83466	transporter
gnl|TC-DB|P31069|1.A.1.13.1	1.A.1.13.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P31069|1.A.1.13.1	99.520	0.0	792	100	NZ_WIDO01000015.1 Escherichia coli OP50 NODE_15_length_108256_cov_52.372083, whole genome shotgun sequence	14984	16234	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.633	1.00e-20	89.0	75	NZ_WIDO01000064.1 Escherichia coli OP50 NODE_64_length_14695_cov_103.408361, whole genome shotgun sequence	10416	9841	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	25.862	1.15e-08	53.1	80	NZ_WIDO01000038.1 Escherichia coli OP50 NODE_38_length_45177_cov_68.996138, whole genome shotgun sequence	28924	29589	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	100.000	7.93e-143	437	100	NZ_WIDO01000005.1 Escherichia coli OP50 NODE_5_length_149741_cov_78.377171, whole genome shotgun sequence	46569	47204	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	100.000	0.0	2144	100	NZ_WIDO01000032.1 Escherichia coli OP50 NODE_32_length_50268_cov_81.155262, whole genome shotgun sequence	27885	31244	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	100.000	0.0	2144	100	NZ_WIDO01000032.1 Escherichia coli OP50 NODE_32_length_50268_cov_81.155262, whole genome shotgun sequence	27885	31244	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	100.000	0.0	1334	100	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	38754	36532	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	100.000	0.0	1334	100	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	38754	36532	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	100.000	0.0	645	100	NZ_WIDO01000022.1 Escherichia coli OP50 NODE_22_length_77611_cov_67.107674, whole genome shotgun sequence	70926	69898	transporter
gnl|TC-DB|Q8EGR5|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR5|1.A.30.1.6	23.875	4.52e-09	55.1	93	NZ_WIDO01000012.1 Escherichia coli OP50 NODE_12_length_115119_cov_63.492008, whole genome shotgun sequence	96701	95970	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	90.615	3.14e-179	546	100	NZ_WIDO01000012.1 Escherichia coli OP50 NODE_12_length_115119_cov_63.492008, whole genome shotgun sequence	96746	95823	transporter
