column,PC,value
&beta;-alanine biosynthesis I,1,-0.1392678449997145
"1,2-dichlorobenzene degradation",1,-0.16994087342362832
"1,2,4-trichlorobenzene degradation",1,-0.16994087342362832
"1,2,4,5-tetrachlorobenzene degradation",1,-0.16994087342362832
"1,3-dichlorobenzene degradation",1,-0.13696381765756252
"2-hydroxypenta-2,4-dienoate degradation",1,-0.14119971569714318
2-O-&alpha;-mannosyl-D-glycerate degradation,1,-0.1108880662465115
3-chlorotoluene degradation I,1,-0.13696381765756252
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,1,-0.16748348623107628
4-hydroxyphenylacetate degradation,1,-0.11791446665456469
acetate formation from acetyl-CoA (succinate),1,-0.16391328246822426
acrylate degradation II,1,-0.13627209439413004
anthranilate degradation IV (aerobic),1,-0.11814419975158472
autoinducer AI-2 degradation,1,-0.15667100497234931
chlorobenzene degradation,1,-0.13696381765756252
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate,1,-0.16748348623107628
conversion of succinate to propanoate,1,-0.16320663746694866
curcumin degradation,1,-0.16446024628379444
Ferredoxin:NAD+ oxidoreductase,1,-0.1694700149159122
fructoselysine and psicoselysine degradation,1,-0.13059059409360643
glycine betaine biosynthesis III (plants),1,-0.16846319525923145
L-carnitine degradation III,1,-0.16825850559586514
L-threonine degradation III (to methylglyoxal),1,-0.1392678449997145
lathyrine biosynthesis,1,-0.16574458595942568
lipoprotein posttranslational modification,1,-0.1371689717314406
nitrobenzene degradation II,1,-0.16994087342362832
phenol degradation I (aerobic),1,-0.11814419975158472
phenylacetate degradation I (aerobic),1,-0.1339379832096812
phenylethylamine degradation I,1,-0.1392678449997145
putrescine degradation II,1,-0.16670233579897795
sucrose degradation IV (sucrose phosphorylase),1,-0.10196071149049662
vancomycin resistance I,1,-0.16479975046156267
vanillin and vanillate degradation I,1,-0.10681488978227316
