met_id,met_name,n
cpd00019,S-Adenosyl-homocysteine,1
cpd00218,Niacin,1
cpd00383,Shikimate,1
cpd00018,AMP,2
cpd00654,Deoxycytidine,2
cpd01318,Glycocholate,2
cpd03047,Taurocholate,2
cpd03246,Taurochenodeoxycholate,2
cpd03247,Glycochenodeoxycholate,2
cpd00091,UMP,4
cpd00003,"NAD",6
cpd00215,Pyridoxal,7
cpd00046,CMP,10
cpd11595,chromate,20
cpd90022,Xylan-b-1-4,20
cpd00793,Thiamine phosphate,26
cpd01015,Cyanate,415
cpd23430,isocholate,427
cpd23431,3-dehydrocholate,427
cpd01048,Arsenate,431
cpd00133,Nicotinamide,545
cpd22614,sulfoquinovose,693
cpd31356,"(S)-2,3-Dihydroxypropane-1-sulfonate",694
cpd00526,Cholate,716
cpd01663,Chenodiol,716
cpd02829,"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",716
cpd35610,3alpha-hydroxy-7-oxo-5beta-cholan-24-oate,716
cpd01092,Allantoin,719
cpd01376,Cellotetraose,719
cpd11746,Cellulose,719
cpd00382,Melitose,725
cpd01132,Puromycin,725
cpd00176,2-keto-3-deoxygluconate,727
cpd01262,Amylotriose,727
cpd01354,beta-Lactose,727
cpd03808,Lacto-N-biose,727
cpd00307,Cytosine,728
cpd00412,Deoxyuridine,728
cpd00006,"NADP",729
cpd08305,crotonobetaine,729
cpd03724,Ferrichrome,730
cpd90003,"starch (n=27, 3xalpha1-6, 23xalpha1-4)",730
cpd90004,"starch (n=19, 3xalpha1-6, 15xalpha1-4)",730
cpd90020,Cellulose,731
cpd00214,Palmitate,732
cpd00249,Uridine,732
cpd01080,ocdca,732
cpd01107,Decanoate,732
cpd01113,Hexanoate,732
cpd01741,ddca,732
cpd03846,octanoate,732
cpd03847,Myristic acid,732
cpd15237,hexadecenoate,732
cpd15269,octadecenoate,732
cpd15298,tetradecenoate,732
cpd90005,Maltooctaose,732
cpd90006,Maltoundecaose,732
cpd90007,Maltohexaose,732
cpd90008,Maltotridecaose,732
cpd00047,Formate,733
cpd00393,Folate,733
cpd00870,gamma-butyrobetaine,733
cpd01030,Salicin,733
cpd04097,Pb,733
cpd00001,H2O,734
cpd00007,O2,734
cpd00009,Phosphate,734
cpd00010,CoA,734
cpd00011,CO2,734
cpd00013,NH3,734
cpd00017,S-Adenosyl-L-methionine,734
cpd00020,Pyruvate,734
cpd00023,L-Glutamate,734
cpd00024,2-Oxoglutarate,734
cpd00025,H2O2,734
cpd00027,D-Glucose,734
cpd00028,Heme,734
cpd00029,Acetate,734
cpd00030,Mn2+,734
cpd00033,Glycine,734
cpd00034,Zn2+,734
cpd00035,L-Alanine,734
cpd00036,Succinate,734
cpd00038,GTP,734
cpd00039,L-Lysine,734
cpd00041,L-Aspartate,734
cpd00048,Sulfate,734
cpd00051,L-Arginine,734
cpd00053,L-Glutamine,734
cpd00054,L-Serine,734
cpd00055,Formaldehyde,734
cpd00058,Cu2+,734
cpd00059,L-Ascorbate,734
cpd00060,L-Methionine,734
cpd00063,Ca2+,734
cpd00064,Ornithine,734
cpd00065,L-Tryptophan,734
cpd00066,L-Phenylalanine,734
cpd00067,H+,734
cpd00069,L-Tyrosine,734
cpd00071,Acetaldehyde,734
cpd00073,Urea,734
cpd00075,Nitrite,734
cpd00076,Sucrose,734
cpd00080,Glycerol-3-phosphate,734
cpd00082,D-Fructose,734
cpd00084,L-Cysteine,734
cpd00092,Uracil,734
cpd00098,Choline,734
cpd00099,Cl-,734
cpd00100,Glycerol,734
cpd00104,BIOT,734
cpd00105,D-Ribose,734
cpd00106,Fumarate,734
cpd00107,L-Leucine,734
