fasta,Genome,ID,Strainname,Accession,Assembly,Annotation,Broadphenotype,phylogroup,Well,PG,Plate_Well,Plate,Origin,Annotation_0mM,Annotation_50mM,phylogroup_Ctyping,mash_group_Ctyping,Discard,Notes
16.fasta,16,16,NA,NA,16,16,Commensal strain,B2,C2,AUS_PG1,AUS_PG1_1,1,AUS,normal,normal,B2,NA,No,NA
164.fasta,164,164,NA,NA,164,164,Commensal strain,D,E9,AUS_PG3,NA,NA,AUS,super_biofilm,super_biofilm,D,NA,No,NA
165.fasta,165,165,NA,NA,165,165,Commensal strain,F,E10,AUS_PG3,AUS_PG3_3,3,AUS,normal,normal,F,NA,No,NA
166.fasta,166,166,NA,NA,166,166,Commensal strain,B2,E11,AUS_PG3,AUS_PG3_3,3,AUS,normal,biofilm,B2,NA,No,NA
167.fasta,167,167,NA,NA,167,167,Commensal strain,B2,F2,AUS_PG3,AUS_PG3_3,3,AUS,normal,normal,B2,NA,No,NA
168.fasta,168,168,NA,NA,168,168,Commensal strain,B2,F3,AUS_PG3,AUS_PG3_3,3,AUS,normal,normal,B2,NA,No,NA
169.fasta,169,169,NA,NA,169,169,Commensal strain,B2,F4,AUS_PG3,AUS_PG3_3,3,AUS,normal,normal,B2,NA,No,NA
197.fasta,197,197,NA,NA,197,197,Commensal strain,B1,C2,AUS_PG4,AUS_PG4_4,4,AUS,normal,biofilm,B1,NA,No,NA
83.fasta,83,83,NA,NA,83,83,Commensal strain,B2,C8,AUS_PG2,AUS_PG2_2,2,AUS,normal,normal,B2,NA,No,NA
90.fasta,90,90,NA,NA,90,90,Commensal strain,B2,D5,AUS_PG2,AUS_PG2_2,2,AUS,normal,normal,B2,NA,No,NA
NT12060_2nd.fasta,NT12060_2nd,NT12060_2nd,ECOR-44x,NA,NT12060_2nd,NT12060_2nd,NA,D,NA,NA,NA,NA,ECOREF,normal,normal,D,NA,No,NA
NT12062_P.fasta,NT12062_P,NT12062_P,ECOR-46,NA,NT12062_P,NT12062_P,Commensal strain,B1,NA,NA,NA,NA,ECOREF,normal,normal,B1,B1,No,NA
NT12077_251.fasta,NT12077_251,NT12077,ECOR-53a,PRJEB20550,NT12077_251,NT12077_251,Commensal strain,B2,F1,PG1,PG1_1,1,ECOREF,normal,normal,B2,NA,No,NA
NT12177_313.fasta,NT12177_313,NT12177,IAI80,PRJEB20550,NT12177_313,NT12177_313,Pathogenic strain,B2,G8,PG2,PG2_2,2,ECOREF,normal,normal,B2,NA,No,NA
NT12288_765.fasta,NT12288_765,NT12288,ZG-37.3,PRJEB20550,NT12288_765,NT12288_765,Commensal strain,E,E6,PG5,PG5_5,5,ECOREF,normal,normal,E,NA,No,NA
NT12321_P.fasta,NT12321_P,NT12321_P,ZG-55.2,NA,NT12321_P,NT12321_P,Commensal strain,C,NA,NA,NA,NA,ECOREF,normal,normal,C,C,No,NA
NT12393_774.fasta,NT12393_774,NT12393,DE-COMM-4021,PRJEB20550,NT12393_774,NT12393_774,Commensal strain,E,E2,PG4,PG4_4,4,ECOREF,normal,super_bio,E,NA,No,NA
NT12575_700.fasta,NT12575_700,NT12575,NILS42,PRJEB20550,NT12575_700,NT12575_700,Pathogenic strain,D,D6,PG6,PG6_6,6,ECOREF,normal,normal,D,NA,No,NA
NT12616_171.fasta,NT12616_171,NT12616,SCI-07,PRJNA180387,NT12616_171,NT12616_171,Pathogenic strain,B2,G10,PG5,PG5_5,5,ECOREF,normal,normal,B2,NA,No,NA
NT12617_147.fasta,NT12617_147,NT12617,O08,PRJNA189394,NT12617_147,NT12617_147,Pathogenic strain,B1,G11,PG5,PG5_5,5,ECOREF,normal,normal,B1,NA,No,NA
NT12618_181.fasta,NT12618_181,NT12618,SEPT362,PRJNA189393,NT12618_181,NT12618_181,Pathogenic strain,G,G12,PG5,PG5_5,5,ECOREF,normal,normal,G,NA,No,NA
NT12619_170.fasta,NT12619_170,NT12619,S17,PRJNA189395,NT12619_170,NT12619_170,Pathogenic strain,A,H1,PG5,PG5_5,5,ECOREF,normal,normal,A,NA,No,NA
NT12704_20.fasta,NT12704_20,NT12704,606,PRJNA294072,NT12704_20,NT12704_20,Laboratory strain,A,H4,PG5,PG5_5,5,ECOREF,normal,normal,A,NA,No,NA
NT12705_21.fasta,NT12705_21,NT12705,607,PRJNA294072,NT12705_21,NT12705_21,Laboratory strain,A,H5,PG5,PG5_5,5,ECOREF,normal,normal,A,NA,No,NA
