protein,length,pLDDT,pTM,plddt_class,id
group_8017,29,49.3,0.17,Very low,NA
group_8018,29,59.8,0.109,Low,NA
group_8297,30,49.8,0.129,Very low,NA
group_8517,30,55.4,0.24,Low,NA
group_7970,30,63.1,0.126,Low,NA
group_8885,31,52.2,0.235,Low,NA
group_8978,31,61,0.305,Low,NA
group_8600,33,72.9,0.377,Confident,NA
group_7815,33,62.3,0.308,Low,NA
group_9195,33,52.1,0.226,Low,NA
group_7749,34,59.1,0.191,Low,NA
group_7750,34,75.5,0.432,Confident,NA
group_7751,34,57,0.321,Low,NA
group_9172,34,55.8,0.271,Low,NA
group_8439,35,85.7,0.527,Confident,NA
group_9213,35,73.8,0.451,Confident,NA
group_7630,36,55.3,0.303,Low,NA
group_9058,37,44,0.123,Very low,NA
rpmJ,38,68.2,0.419,Low,NA
group_8508,38,72.9,0.338,Confident,NA
group_8886,39,46.3,0.142,Very low,NA
group_7436,39,53,0.111,Low,NA
group_7437,39,47.1,0.205,Very low,NA
group_8843,40,56.6,0.337,Low,NA
group_7403,40,68.5,0.359,Low,NA
group_7346,41,71,0.437,Confident,NA
group_9017,41,64.2,0.344,Low,NA
group_9090,41,45.2,0.117,Very low,NA
group_7352,41,54.6,0.327,Low,NA
group_8613,42,58.2,0.344,Low,NA
group_7166,44,50.3,0.219,Low,NA
group_8953,44,55.1,0.324,Low,NA
group_8295,45,76.8,0.454,Confident,NA
group_7111,45,45.3,0.104,Very low,NA
group_8770,45,58.9,0.367,Low,NA
group_9124,45,76.6,0.484,Confident,NA
rpmH,46,76.1,0.593,Confident,NA
group_8840,46,51.3,0.213,Low,NA
group_7033,46,40.3,0.186,Very low,NA
group_6989,47,60.6,0.36,Low,NA
group_6990,47,75.7,0.498,Confident,NA
group_8870,48,48.1,0.286,Very low,NA
group_9011,48,61.6,0.382,Low,NA
group_6926,48,71.2,0.423,Confident,NA
group_9308,49,80.7,0.552,Confident,NA
group_6773,50,45.6,0.242,Very low,NA
group_6777,50,80.9,0.633,Confident,NA
group_9286,50,40.1,0.136,Very low,NA
group_6705,51,83.9,0.675,Confident,NA
yqaE,52,84.7,0.761,Confident,NA
group_6631,52,86.8,0.665,Confident,NA
group_6632,52,66.5,0.403,Low,NA
group_6633,52,40.3,0.205,Very low,NA
group_6634,52,35,0.141,Very low,NA
group_6636,52,33.9,0.107,Very low,NA
group_6549,53,78,0.505,Confident,NA
group_6548,53,66,0.459,Low,NA
group_6553,53,54.8,0.104,Low,NA
group_9123,53,39.6,0.119,Very low,NA
group_6476,54,78.4,0.507,Confident,NA
group_9309,54,37.9,0.142,Very low,NA
rmf,55,82.3,0.775,Confident,NA
rpmG,55,69.3,0.516,Low,NA
group_6397,55,69.9,0.505,Low,NA
group_6399,55,42.3,0.178,Very low,NA
group_8868,55,59,0.394,Low,NA
group_6401,55,74.7,0.628,Confident,NA
icd_1,55,85.5,0.73,Confident,NA
yqiD,56,78.2,0.441,Confident,NA
group_8519,56,51.9,0.395,Low,NA
group_6332,56,78.1,0.645,Confident,NA
group_6333,56,75.3,0.414,Confident,NA
group_6334,56,56.2,0.295,Low,NA
ninE,56,64.1,0.319,Low,NA
group_9239,56,77.9,0.531,Confident,NA
rpmF,57,72,0.394,Confident,NA
gnsA,57,75.8,0.567,Confident,NA
ghoT,57,79.3,0.632,Confident,NA
group_6268,57,77,0.593,Confident,NA
group_6269,57,37.5,0.171,Very low,NA
group_6271,57,57.2,0.353,Low,NA
group_6272,57,72.6,0.461,Confident,NA
group_6273,57,61.4,0.33,Low,NA
group_8716,57,84.4,0.772,Confident,NA
group_6275,57,80.9,0.698,Confident,NA
group_6276,57,80.5,0.669,Confident,NA
group_9018,57,35.9,0.113,Very low,NA
group_6277,57,78.1,0.661,Confident,NA
group_6199,58,39.8,0.202,Very low,NA
group_8504,58,63.7,0.509,Low,NA
group_6201,58,69.9,0.578,Low,NA
group_6206,58,73.1,0.662,Confident,NA
group_6208,58,38.9,0.215,Very low,NA
group_6210,58,55.5,0.212,Low,NA
group_9263,58,80.7,0.689,Confident,NA
yoaH,59,70.6,0.584,Confident,NA
rpmD,59,82.1,0.732,Confident,NA
group_6126,59,62.7,0.432,Low,NA
group_6127,59,45.5,0.216,Very low,NA
group_6130,59,79.1,0.653,Confident,NA
group_9156,59,80,0.726,Confident,NA
group_6052,60,58.9,0.386,Low,NA
group_8884,60,38.3,0.118,Very low,NA
group_9004,60,41.8,0.115,Very low,NA
group_9068,60,37.7,0.251,Very low,NA
group_6059,60,43.5,0.107,Very low,NA
csrA,61,84.2,0.679,Confident,NA
group_5992,61,87.2,0.826,Confident,NA
group_5993,61,51.3,0.317,Low,NA
group_5994,61,59.3,0.333,Low,NA
group_5995,61,58.6,0.393,Low,NA
group_5996,61,65,0.565,Low,NA
group_5998,61,87.9,0.793,Confident,NA
group_8724,61,58.8,0.469,Low,NA
group_8951,61,62.9,0.445,Low,NA
ymfR,61,72,0.512,Confident,NA
group_6000,61,52.2,0.342,Low,NA
group_9273,61,78.3,0.65,Confident,NA
group_9318,61,51,0.35,Low,NA
ydiH,62,77.2,0.632,Confident,NA
group_5929,62,63.7,0.316,Low,NA
group_5932,62,40.7,0.114,Very low,NA
group_5933,62,41.9,0.223,Very low,NA
group_9005,62,45.3,0.255,Very low,NA
group_9014,62,64.9,0.558,Low,NA
group_9264,62,59.8,0.342,Low,NA
rpmC,63,80.2,0.72,Confident,NA
group_8507,63,48.4,0.284,Very low,NA
group_5854,63,80.3,0.754,Confident,NA
group_8756,63,81.8,0.776,Confident,NA
group_8960,63,45.7,0.196,Very low,NA
group_9240,63,42.8,0.194,Very low,NA
group_5859,63,36.2,0.177,Very low,NA
group_8421,64,54.3,0.309,Low,NA
group_5771,64,62.5,0.382,Low,NA
bfd,64,80.7,0.771,Confident,NA
group_5772,64,44.5,0.253,Very low,NA
group_8882,64,81.3,0.717,Confident,NA
group_8925,64,36.2,0.188,Very low,NA
group_5775,64,56.1,0.31,Low,NA
group_5776,64,80.9,0.663,Confident,NA
group_5780,64,83.2,0.722,Confident,NA
rpmI,65,79.2,0.652,Confident,NA
group_8410,65,65.2,0.333,Low,NA
group_8696,65,69.1,0.53,Low,NA
group_5676,65,51.4,0.277,Low,NA
group_5678,65,73.5,0.553,Confident,NA
group_5681,65,85.2,0.834,Confident,NA
group_5682,65,56.9,0.412,Low,NA
group_9050,65,67.3,0.481,Low,NA
group_5683,65,31.9,0.124,Very low,NA
group_5684,65,43.6,0.132,Very low,NA
group_5685,65,37.1,0.23,Very low,NA
group_5686,65,84.2,0.755,Confident,NA
mdtG_2,65,62.8,0.35,Low,NA
group_5580,66,65.6,0.474,Low,NA
iscX,66,77.7,0.725,Confident,NA
group_5581,66,56.9,0.292,Low,NA
group_8397,66,83,0.784,Confident,NA
group_8479,66,43.7,0.259,Very low,NA
group_5582,66,37.1,0.204,Very low,NA
group_5584,66,60.7,0.485,Low,NA
group_8726,66,74.7,0.619,Confident,NA
group_8747,66,52.3,0.304,Low,NA
group_5589,66,78.1,0.731,Confident,NA
group_9312,66,72.2,0.621,Confident,NA
group_5495,67,81.8,0.715,Confident,NA
yjiX,67,71.6,0.523,Confident,NA
group_5498,67,53.5,0.242,Low,NA
group_8838,67,58.6,0.303,Low,NA
group_8853,67,41.1,0.216,Very low,NA
group_5501,67,79.4,0.742,Confident,NA
