Gene,group,annotated,COG_category,COG_description,Preferred_name,GOs,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction
group_5731,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_5732,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
mnmA,core,Yes,J,Tranlsation,mnmA,"GO:0001510,GO:0002097,GO:0002098,GO:0002143,GO:0003674,GO:0003824,GO:0004808,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016741,GO:0016782,GO:0016783,GO:0030488,GO:0032259,GO:0034227,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360",ko:K00566,"ko04122,map04122",-,R08700
purB,core,Yes,F,Nucleotide metabolism and transport,purB,"GO:0003674,GO:0003824,GO:0004018,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006974,GO:0008150,GO:0009987,GO:0016829,GO:0016840,GO:0016842,GO:0033554,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716",ko:K01756,"ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130","M00048,M00049","R01083,R04559"
roxA,core,Yes,S,Function Unknown,ycfD,"GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0008198,GO:0009987,GO:0016491,GO:0016705,GO:0016706,GO:0018193,GO:0018195,GO:0019538,GO:0030961,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043687,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0046872,GO:0046914,GO:0051213,GO:0055114,GO:0071704,GO:1901564",ko:K18850,-,-,-
potB,core,Yes,P,Inorganic ion transport and metabolism,potB,"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0008519,GO:0015075,GO:0015101,GO:0015203,GO:0015399,GO:0015405,GO:0015417,GO:0015595,GO:0015606,GO:0015695,GO:0015696,GO:0015846,GO:0015847,GO:0015848,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0031224,GO:0031226,GO:0032991,GO:0034220,GO:0042623,GO:0042626,GO:0043190,GO:0043492,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072488,GO:0098533,GO:0098655,GO:0098796,GO:0098797,GO:1902047,GO:1902494,GO:1902495,GO:1903711,GO:1904949,GO:1990351",ko:K11071,"ko02010,map02010",M00299,-
potD,core,Yes,P,Inorganic ion transport and metabolism,potD,"GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0015695,GO:0015696,GO:0015846,GO:0015847,GO:0015848,GO:0019808,GO:0019809,GO:0019810,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0043167,GO:0043169,GO:0044464,GO:0051179,GO:0051234,GO:0070405,GO:0071702,GO:0071705",ko:K11069,"ko02010,map02010",M00299,-
lolD,core,Yes,V,Defense mechanism,lolD,"GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008104,GO:0008144,GO:0008150,GO:0015399,GO:0015405,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033036,GO:0034613,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043492,GO:0044425,GO:0044459,GO:0044464,GO:0044872,GO:0044873,GO:0044874,GO:0051179,GO:0051234,GO:0051641,GO:0055085,GO:0070727,GO:0071944,GO:0072657,GO:0089705,GO:0097159,GO:0097367,GO:0098796,GO:0098797,GO:1901265,GO:1901363,GO:1990778",ko:K09810,"ko02010,map02010",M00255,-
lolC,core,Yes,M,Cell wall/membrane/envelop biogenesis,lolC,"GO:0005575,GO:0005623,GO:0005886,GO:0008104,GO:0008150,GO:0016020,GO:0032991,GO:0033036,GO:0034613,GO:0044425,GO:0044459,GO:0044464,GO:0044872,GO:0044873,GO:0044874,GO:0051179,GO:0051641,GO:0070727,GO:0071944,GO:0072657,GO:0089705,GO:0098796,GO:0098797,GO:1990778",ko:K09808,"ko02010,map02010",M00255,-
lpoB,core,Yes,M,Cell wall/membrane/envelop biogenesis,lpoB,"GO:0000270,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008047,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009279,GO:0009987,GO:0016020,GO:0019867,GO:0019899,GO:0030203,GO:0030234,GO:0030312,GO:0030313,GO:0031241,GO:0031975,GO:0034645,GO:0042546,GO:0043085,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044093,GO:0044237,GO:0044249,GO:0044260,GO:0044425,GO:0044462,GO:0044464,GO:0050790,GO:0065007,GO:0065009,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:0098552,GO:0098772,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576",ko:K07337,-,-,-
